GuestID,BookingDate,PromoCode,Region,AllInclusive,Room,PackageType,Age,VIP,RoomService,Dining,Retail,Spa,Entertainment,LoyaltyPoints,SurveyScore,DaysSinceEmail,BookingChannel,AgeGroup,ReferralSource,Churned
619623,2024-02-10,,Americas,0,G/630/S,Relaxation,0.0,0,0.0,0.0,0.0,0.0,0.0,6915,5,136,Website,,Facebook,1
776250,2024-01-03,,Americas,1,G/201/S,Relaxation,17.0,0,0.0,0.0,0.0,0.0,0.0,8571,5,362,Corporate,Minor,Billboard,1
932709,2023-01-17,,Americas,,G/1483/S,Wellness,35.0,0,0.0,336519.8436426201,0.0,0.0,0.0,1142,4,154,TravelAgent,Middle,Facebook,0
771839,2023-12-09,PromoA,Europe,1,D/164/S,Adventure,26.0,0,0.0,0.0,0.0,,0.0,9642,2,128,Website,Young,Magazine,1
755501,2024-02-15,PromoA,Americas,0,G/818/P,Relaxation,13.0,0,0.0,0.0,60.0,1.0,5147.0,5528,4,35,Mobile,Minor,Google,0
213877,2024-02-03,PromoB,Americas,0,F/1185/P,Relaxation,24.0,0,0.0,217.0,0.0,77.0,510.0,48,5,2,Mobile,Young,TripAdvisor,0
322883,2024-06-08,,AsiaPacific,0,F/152/S,Relaxation,0.0,0,0.0,0.0,0.0,158434.31868556113,0.0,4941,4,245,Website,,Facebook,1
515689,2023-07-08,,,0,E/179/P,Adventure,,0,166183.90990804182,641.0,0.0,2.0,0.0,2326,4,144,TravelAgent,Young,Facebook,1
121285,2024-12-07,,Europe,1,B/32/S,Adventure,32.0,0,0.0,0.0,0.0,0.0,0.0,2733,5,140,TravelAgent,Middle,Billboard,1
860704,2024-02-25,PromoA,Americas,0,F/545/S,Wellness,29.0,0,631.0,,0.0,40.0,0.0,3350,4,292,Corporate,Young,Email,0
763768,2024-02-17,PromoA,AsiaPacific,0,E/252/P,Relaxation,22.0,0,0.0,0.0,0.0,0.0,0.0,1465,1,142,Mobile,Young,Google,0
935778,2024-12-14,PromoA,Americas,0,G/1436/S,Relaxation,19.0,0,16.0,1739.0,9.0,5.0,8.0,3416,1,322,Mobile,Young,Google,1
478782,2024-05-24,PromoA,Europe,0,C/69/P,Adventure,39.0,0,0.0,,0.0,1528.0,450954.40163996856,869,4,219,Website,Middle,TV,0
358802,2024-12-02,,Europe,1,B/75/S,Adventure,15.0,0,0.0,0.0,0.0,0.0,0.0,5515,4,68,Corporate,Minor,TripAdvisor,1
605619,2024-11-15,PromoB,Americas,0,F/1535/P,Relaxation,47.0,0,0.0,61.0,805.0,0.0,430882.10219580954,2240,4,134,Mobile,Senior,Facebook,1
415732,2023-06-22,,Americas,0,F/1411/P,Relaxation,9.0,0,0.0,0.0,0.0,0.0,0.0,3727,2,256,Mobile,Minor,Google,1
496404,2023-08-21,PromoA,Europe,,B/5/P,Relaxation,40.0,0,0.0,331.0,0.0,0.0,1687.0,1503,3,182,Website,Middle,TripAdvisor,0
623985,2024-11-12,PromoA,Americas,0,F/1537/S,Relaxation,35.0,0,,0.0,62.0,0.0,891.0,292,3,325,Mobile,Middle,Yelp,0
179550,2024-02-17,PromoA,AsiaPacific,0,F/151/S,Relaxation,,0,1227.0,42.0,1.0,0.0,0.0,7203,2,279,Mobile,,Google,0
577971,2023-12-09,PromoA,AsiaPacific,0,F/538/S,Adventure,43.0,0,803.0,0.0,384.0,120.0,0.0,1132,1,26,TravelAgent,Middle,Facebook,1
394331,2023-11-04,,AsiaPacific,0,F/151/S,Relaxation,10.0,0,0.0,0.0,0.0,0.0,,4600,2,124,Website,Minor,Google,1
759758,2024-03-23,,Americas,0,G/221/S,Wellness,8.0,0,0.0,0.0,0.0,0.0,0.0,365,5,340,Phone,Minor,TikTok,1
302546,2023-08-23,,Americas,0,F/269/S,Relaxation,22.0,0,0.0,442.0,0.0,0.0,368.0,1449,3,54,Corporate,Young,Facebook,1
330113,2024-06-08,PromoA,Europe,1,B/101/P,Adventure,30.0,0,0.0,0.0,0.0,0.0,0.0,5751,3,357,Phone,Young,Google,1
686348,2024-01-17,PromoA,Americas,0,F/1301/P,Relaxation,24.0,0,0.0,1049.0,1.0,0.0,0.0,3667,5,339,Mobile,Young,Friend,0
360794,2023-01-02,PromoA,Americas,0,G/118/S,Wellness,21.0,0,14.0,33.0,0.0,3.0,467.0,2090,5,240,Corporate,Young,Instagram,0
193687,2024-09-05,PromoA,Americas,1,G/975/P,Wellness,16.0,0,0.0,,0.0,0.0,0.0,6763,1,95,Corporate,Minor,TV,1
710958,2024-11-15,,AsiaPacific,0,D/176/S,Relaxation,15.0,0,2309.0,0.0,1142.0,1.0,10.0,8090,3,162,Mobile,Minor,TripAdvisor,0
105734,2024-07-03,,AsiaPacific,1,F/799/P,Relaxation,30.0,0,0.0,0.0,0.0,0.0,0.0,7777,4,67,Phone,Young,Google,1
180275,2024-07-13,PromoA,Europe,0,B/297/P,Adventure,29.0,0,0.0,12563.0,0.0,3.0,5057.0,4489,3,298,TravelAgent,Young,Instagram,0
496723,2024-09-07,,Americas,0,G/1457/S,Relaxation,36.0,0,0.0,,204.0,559.0,3.0,3781,2,264,Corporate,Middle,Google,0
